,Code,Price,Title,Issue
156,OCT250157,12.95,TODAYS MENU FOR EMIYA FAMILY GN VOL 07 (C: 0-1-2),1
157,OCT250158,6.99,BUCK ROGERS 2425 #1 (OF 5) (C: 0-1-2),1
158,OCT250159,6.99,BUCK ROGERS 2425 #2 (OF 5) (C: 0-1-2),1
159,OCT250160,6.99,BUCK ROGERS 2425 #3 (OF 5) (C: 0-1-2),1
160,OCT250161,6.99,BUCK ROGERS 2425 #4 (OF 5) (C: 0-1-2),1
161,OCT250162,6.99,BUCK ROGERS 2425 #5 (OF 5) (C: 0-1-2),1
162,OCT250163,15.99,MANGA WORLDS COLORING BOOK SC (C: 0-1-2),1
163,OCT250164,15.95,BETRAYERS LOVE SONG GN VOL 01 (C: 0-1-0),1
164,OCT250165,39.99,OSAKA GENSO ART WORKS HC (C: 0-1-2),1
165,OCT250166,85,KUSAMORI SHUICHI ANIMATION ARTWORKS HC (C: 0-1-2),1
166,OCT250167,170,PAINTING THE WORLDS OF STUDIO GHIBLI HC (C: 1-1-2),1
167,OCT250168,24.99,CREATE YOUR OWN WEBCOMICS WITH WEBTOON SC (C: 0-1-2),1
168,OCT250169,13,IM NOT POPULAR GN VOL 26 (MR) (C: 0-1-2),1
169,OCT250170,51.7375,MARVEL ANIMATED DEADPOOL JUMPING STATUE (Net) (C: 1-1-2),1
170,OCT250171,49.99,MARVEL ANIMATED STYLE GAMORA STATUE (C: 1-1-2),1
171,OCT250172,49.99,MARVEL ANIMATED STYLE LOKI STATUE (C: 1-1-2),1
172,OCT250173,130,MARVEL COMIC HUMAN TORCH 1/6 SCALE BUST (C: 1-1-2),1
173,OCT250174,130,MARVEL COMIC MOON KNIGHT BUST (C: 1-1-2),1
174,OCT250175,120,MARVEL ANIMATED X-MEN PHOENIX BUST (C: 1-1-2),1
175,OCT250176,250,MARVEL PREMIER COLLECTION WEAPON HULK STATUE (C: 1-1-2),1
176,OCT250177,59.99,MARVEL GALLERY COMIC KRAVEN THE HUNTER PVC STATE (C: 1-1-2),1
177,OCT250178,80,MARVEL GALLERY COMIC MR FIX-IT DLX PVC STATUE (C: 1-1-2),1
178,OCT250179,75,MARVEL GALLERY COMIC MODOK PVC STATUE (C: 1-1-2),1
179,OCT250180,24.362499999999997,MARVEL SELECT IRON MAN AF (Net) (C: 1-1-0),1
180,OCT250181,215.625,SW MILESTONES A NEW HOPE LUKE SKYWALKER TRAINING STATUE (Net,1
181,OCT250182,250,STAR WARS MILESTONES A NEW HOPE TIE PILOT STATUE (C: 1-1-2),1
182,OCT250183,250,STAR WARS MILESTONES DIN DJARIN SEASON 3 STATUE (C: 1-1-2),1
183,OCT250184,225,STAR WARS PREMIER COLLECTION FENNEC SHAND STATUE (C: 1-1-2),1
184,OCT250185,120,STAR WARS THE MANDALORIAN SEASON 2 BO-KATAN BUST (C: 1-1-2),1
